Frequenz (Hz),Gain (dB),Phase (°)
100.0,19.7331069092753,180.0
102.329299228075,19.7331069092753,180.0
104.71285480509,19.7331069092753,180.0
107.151930523761,19.7331069092753,180.0
109.647819614318,19.7331069092753,180.0
112.201845430196,19.7331069092753,-180.0
114.815362149688,19.7331069092753,180.0
117.489755493953,19.7331069092753,180.0
120.226443461741,19.7331069092753,180.0
123.026877081238,19.7331069092753,-180.0
125.892541179417,19.7331069092753,180.0
128.824955169313,19.7331069092753,180.0
131.825673855641,19.7331069092753,-180.0
134.896288259165,19.7331069092753,180.0
138.038426460288,19.7331069092753,-180.0
141.253754462275,19.7331069092753,180.0
144.543977074593,19.7331069092753,180.0
147.910838816821,19.7331069092753,-180.0
151.356124843621,19.7331069092753,-180.0
154.881661891248,19.7331069092753,-180.0
158.489319246111,19.7331069092753,-180.0
162.181009735893,19.7331069092753,180.0
165.958690743756,19.7331069092753,180.0
169.824365246174,19.7331069092753,180.0
173.780082874937,19.7331069092753,180.0
177.827941003892,19.7331069092753,180.0
181.970085860998,19.7331069092753,180.0
186.208713666287,19.7331069092753,180.0
190.546071796324,19.7331069092753,180.0
194.984459975804,19.7331069092753,-180.0
199.526231496888,19.7331069092753,-180.0
204.173794466953,19.7331069092753,180.0
208.929613085404,19.7331069092753,180.0
213.796208950223,19.7331069092753,180.0
218.776162394955,19.7331069092753,180.0
223.872113856834,19.7331069092753,-180.0
229.086765276777,19.7331069092753,-180.0
234.422881531992,19.7331069092753,180.0
239.883291901949,19.7331069092753,-180.0
245.470891568503,19.7331069092753,-180.0
251.188643150958,19.7331069092753,180.0
257.039578276886,19.7331069092753,180.0
263.026799189538,19.7331069092753,180.0
269.153480392691,19.7331069092753,-180.0
275.422870333816,19.7331069092753,180.0
281.838293126445,19.7331069092753,180.0
288.40315031266,19.7331069092753,180.0
295.120922666638,19.7331069092753,180.0
301.995172040201,19.7331069092753,180.0
309.029543251358,19.7331069092753,180.0
316.227766016837,19.7331069092753,180.0
323.593656929628,19.7331069092753,180.0
331.13112148259,19.7331069092753,180.0
338.844156139202,19.7331069092753,180.0
346.736850452531,19.7331069092753,180.0
354.813389233575,19.7331069092753,-180.0
363.078054770101,19.7331069092753,180.0
371.535229097172,19.7331069092753,-180.0
380.18939632056,19.7331069092753,-180.0
389.04514499428,19.7331069092753,-180.0
398.107170553496,19.7331069092753,180.0
407.380277804112,19.7331069092753,180.0
416.869383470335,19.7331069092753,-180.0
426.579518801592,19.7331069092753,180.0
436.515832240165,19.7331069092753,180.0
446.683592150962,19.7331069092753,180.0
457.088189614874,19.7331069092753,-180.0
467.735141287197,19.7331069092753,180.0
478.630092322637,19.7331069092753,180.0
489.778819368445,19.7331069092753,180.0
501.187233627271,19.7331069092753,180.0
512.861383991364,19.7331069092753,180.0
524.807460249771,19.7331069092753,180.0
537.031796370251,19.7331069092753,180.0
549.540873857623,19.7331069092753,180.0
562.341325190348,19.7331069092753,180.0
575.439937337155,19.7331069092753,-180.0
588.843655355587,19.7331069092753,180.0
602.559586074356,19.7331069092753,180.0
616.595001861481,19.7331069092753,180.0
630.957344480192,19.7331069092753,180.0
645.654229034654,19.7331069092753,180.0
660.693448007594,19.7331069092753,180.0
676.08297539198,19.7331069092753,180.0
691.830970918935,19.7331069092753,180.0
707.945784384136,19.7331069092753,-180.0
724.435960074988,19.7331069092753,-180.0
741.310241300916,19.7331069092753,-180.0
758.577575029182,19.7331069092753,-180.0
776.24711662869,19.7331069092753,180.0
794.328234724279,19.7331069092753,-180.0
812.830516164097,19.7331069092753,180.0
831.763771102669,19.7331069092753,180.0
851.138038202374,19.7331069092753,-180.0
870.963589956078,19.7331069092753,180.0
891.250938133743,19.7331069092753,180.0
912.010839355907,19.7331069092753,180.0
933.254300796988,19.7331069092753,-180.0
954.992586021433,19.7331069092753,180.0
977.237220955808,19.7331069092753,180.0
999.999999999997,19.7331069092753,180.0
1023.29299228075,19.7331069092753,-180.0
1047.1285480509,19.7331069092753,180.0
1071.5193052376,19.7331069092753,180.0
1096.47819614318,19.7331069092753,180.0
1122.01845430196,19.7331069092753,180.0
1148.15362149688,19.7331069092753,180.0
1174.89755493953,19.7331069092753,180.0
1202.26443461741,19.7331069092753,-180.0
1230.26877081238,19.7331069092753,180.0
1258.92541179416,19.7331069092753,180.0
1288.24955169313,19.7331069092753,180.0
1318.2567385564,19.7331069092753,180.0
1348.96288259165,19.7331069092753,180.0
1380.38426460288,19.7331069092753,180.0
1412.53754462275,19.7331069092753,-180.0
1445.43977074592,19.7331069092753,180.0
1479.1083881682,19.7331069092753,180.0
1513.5612484362,19.7331069092753,180.0
1548.81661891248,19.7331069092753,180.0
1584.89319246111,19.7331069092753,-180.0
1621.81009735892,19.7331069092753,180.0
1659.58690743755,19.7331069092753,180.0
1698.24365246174,19.7331069092753,180.0
1737.80082874937,19.7331069092753,180.0
1778.27941003892,19.7331069092753,-180.0
1819.70085860998,19.7331069092753,180.0
1862.08713666286,19.7331069092753,180.0
1905.46071796324,19.7331069092753,180.0
1949.84459975804,19.7331069092753,-180.0
1995.26231496887,19.7331069092753,180.0
2041.73794466952,19.7331069092753,180.0
2089.29613085403,19.7331069092753,180.0
2137.96208950222,19.7331069092753,-180.0
2187.76162394954,19.7331069092753,180.0
2238.72113856833,19.7331069092753,180.0
2290.86765276776,19.7331069092753,180.0
2344.22881531991,19.7331069092753,180.0
2398.83291901948,19.7331069092753,180.0
2454.70891568502,19.7331069092753,180.0
2511.88643150957,19.7331069092753,180.0
2570.39578276885,19.7331069092753,180.0
2630.26799189537,19.7331069092753,180.0
2691.5348039269,19.7331069092753,180.0
2754.22870333815,19.7331069092753,-180.0
2818.38293126444,19.7331069092753,-180.0
2884.03150312659,19.7331069092753,180.0
2951.20922666637,19.7331069092753,180.0
3019.951720402,19.7331069092753,180.0
3090.29543251358,19.7331069092753,180.0
3162.27766016836,19.7331069092753,180.0
3235.93656929627,19.7331069092753,180.0
