Freq.	V(vout)	V(vout)/V(vin)
4.57088189614874e+02	(7.09192180649483e+00dB,-1.03492257934816e+02°)	(1.97331069092753e+01dB,-1.80000000000000e+02°)
4.67735141287197e+02	(7.28079441488060e+00dB,-1.03794656625920e+02°)	(1.97331069092753e+01dB,1.80000000000000e+02°)
4.78630092322637e+02	(7.46917308241467e+00dB,-1.04103289764146e+02°)	(1.97331069092753e+01dB,1.80000000000000e+02°)
4.89778819368445e+02	(7.65703729226988e+00dB,-1.04418249317341e+02°)	(1.97331069092753e+01dB,1.80000000000000e+02°)
5.01187233627271e+02	(7.84436580238735e+00dB,-1.04739626109664e+02°)	(1.97331069092753e+01dB,1.80000000000000e+02°)
5.12861383991364e+02	(8.03113663126312e+00dB,-1.05067509616832e+02°)	(1.97331069092753e+01dB,1.80000000000000e+02°)
5.24807460249771e+02	(8.21732704455340e+00dB,-1.05401987749715e+02°)	(1.97331069092753e+01dB,1.80000000000000e+02°)
5.37031796370251e+02	(8.40291354262583e+00dB,-1.05743146626061e+02°)	(1.97331069092753e+01dB,1.80000000000000e+02°)
5.49540873857623e+02	(8.58787184919328e+00dB,-1.06091070330188e+02°)	(1.97331069092753e+01dB,1.80000000000000e+02°)
5.62341325190348e+02	(8.77217690117470e+00dB,-1.06445840660518e+02°)	(1.97331069092753e+01dB,1.80000000000000e+02°)
5.75439937337155e+02	(8.95580283993622e+00dB,-1.06807536864879e+02°)	(1.97331069092753e+01dB,-1.80000000000000e+02°)
5.88843655355587e+02	(9.13872300407367e+00dB,-1.07176235363581e+02°)	(1.97331069092753e+01dB,1.80000000000000e+02°)
6.02559586074356e+02	(9.32090992390597e+00dB,-1.07552009460330e+02°)	(1.97331069092753e+01dB,1.80000000000000e+02°)
6.16595001861481e+02	(9.50233531785590e+00dB,-1.07934929041112e+02°)	(1.97331069092753e+01dB,1.80000000000000e+02°)
6.30957344480192e+02	(9.68297009090254e+00dB,-1.08325060261303e+02°)	(1.97331069092753e+01dB,1.80000000000000e+02°)
6.45654229034654e+02	(9.86278433529545e+00dB,-1.08722465221305e+02°)	(1.97331069092753e+01dB,1.80000000000000e+02°)
6.60693448007594e+02	(1.00417473337266e+01dB,-1.09127201631164e+02°)	(1.97331069092753e+01dB,1.80000000000000e+02°)
6.76082975391980e+02	(1.02198275651610e+01dB,-1.09539322464691e+02°)	(1.97331069092753e+01dB,1.80000000000000e+02°)
6.91830970918935e+02	(1.03969927135294e+01dB,-1.09958875603768e+02°)	(1.97331069092753e+01dB,1.80000000000000e+02°)
7.07945784384136e+02	(1.05732096794899e+01dB,-1.10385903473616e+02°)	(1.97331069092753e+01dB,-1.80000000000000e+02°)
7.24435960074988e+02	(1.07484445954662e+01dB,-1.10820442669977e+02°)	(1.97331069092753e+01dB,-1.80000000000000e+02°)
7.41310241300916e+02	(1.09226628441655e+01dB,-1.11262523579263e+02°)	(1.97331069092753e+01dB,-1.80000000000000e+02°)
7.58577575029182e+02	(1.10958290807824e+01dB,-1.11712169992914e+02°)	(1.97331069092753e+01dB,-1.80000000000000e+02°)
7.76247116628690e+02	(1.12679072590831e+01dB,-1.12169398717349e+02°)	(1.97331069092753e+01dB,1.80000000000000e+02°)
7.94328234724279e+02	(1.14388606615614e+01dB,-1.12634219181052e+02°)	(1.97331069092753e+01dB,-1.80000000000000e+02°)
8.12830516164097e+02	(1.16086519338455e+01dB,-1.13106633040510e+02°)	(1.97331069092753e+01dB,1.80000000000000e+02°)
8.31763771102669e+02	(1.17772431235216e+01dB,-1.13586633786884e+02°)	(1.97331069092753e+01dB,1.80000000000000e+02°)
8.51138038202374e+02	(1.19445957235257e+01dB,-1.14074206355462e+02°)	(1.97331069092753e+01dB,-1.80000000000000e+02°)
8.70963589956078e+02	(1.21106707202338e+01dB,-1.14569326740110e+02°)	(1.97331069092753e+01dB,1.80000000000000e+02°)
8.91250938133743e+02	(1.22754286463600e+01dB,-1.15071961615096e+02°)	(1.97331069092753e+01dB,1.80000000000000e+02°)
9.12010839355907e+02	(1.24388296387459e+01dB,-1.15582067966822e+02°)	(1.97331069092753e+01dB,1.80000000000000e+02°)
9.33254300796988e+02	(1.26008335010939e+01dB,-1.16099592738137e+02°)	(1.97331069092753e+01dB,-1.80000000000000e+02°)
9.54992586021433e+02	(1.27613997716673e+01dB,-1.16624472488044e+02°)	(1.97331069092753e+01dB,1.80000000000000e+02°)
9.77237220955808e+02	(1.29204877959412e+01dB,-1.17156633069732e+02°)	(1.97331069092753e+01dB,1.80000000000000e+02°)
9.99999999999997e+02	(1.30780568041508e+01dB,-1.17695989329950e+02°)	(1.97331069092753e+01dB,1.80000000000000e+02°)
1.02329299228075e+03	(1.32340659936405e+01dB,-1.18242444832840e+02°)	(1.97331069092753e+01dB,-1.80000000000000e+02°)
1.04712854805090e+03	(1.33884746158723e+01dB,-1.18795891611362e+02°)	(1.97331069092753e+01dB,1.80000000000000e+02°)
1.07151930523760e+03	(1.35412420679037e+01dB,-1.19356209949512e+02°)	(1.97331069092753e+01dB,1.80000000000000e+02°)
1.09647819614318e+03	(1.36923279880962e+01dB,-1.19923268198474e+02°)	(1.97331069092753e+01dB,1.80000000000000e+02°)
1.12201845430196e+03	(1.38416923557635e+01dB,-1.20496922629847e+02°)	(1.97331069092753e+01dB,1.80000000000000e+02°)
1.14815362149688e+03	(1.39892955944155e+01dB,-1.21077017328975e+02°)	(1.97331069092753e+01dB,1.80000000000000e+02°)
1.17489755493953e+03	(1.41350986782021e+01dB,-1.21663384131302e+02°)	(1.97331069092753e+01dB,1.80000000000000e+02°)
1.20226443461741e+03	(1.42790632411069e+01dB,-1.22255842604504e+02°)	(1.97331069092753e+01dB,-1.80000000000000e+02°)
1.23026877081238e+03	(1.44211516883900e+01dB,-1.22854200078943e+02°)	(1.97331069092753e+01dB,1.80000000000000e+02°)
1.25892541179416e+03	(1.45613273097297e+01dB,-1.23458251728751e+02°)	(1.97331069092753e+01dB,1.80000000000000e+02°)
1.28824955169313e+03	(1.46995543934630e+01dB,-1.24067780705532e+02°)	(1.97331069092753e+01dB,1.80000000000000e+02°)
1.31825673855640e+03	(1.48357983412861e+01dB,-1.24682558326369e+02°)	(1.97331069092753e+01dB,1.80000000000000e+02°)
1.34896288259165e+03	(1.49700257827330e+01dB,-1.25302344317415e+02°)	(1.97331069092753e+01dB,1.80000000000000e+02°)
1.38038426460288e+03	(1.51022046887181e+01dB,-1.25926887113960e+02°)	(1.97331069092753e+01dB,1.80000000000000e+02°)
1.41253754462275e+03	(1.52323044834042e+01dB,-1.26555924217398e+02°)	(1.97331069092753e+01dB,-1.80000000000000e+02°)
1.44543977074592e+03	(1.53602961536328e+01dB,-1.27189182609056e+02°)	(1.97331069092753e+01dB,1.80000000000000e+02°)
1.47910838816820e+03	(1.54861523551455e+01dB,-1.27826379220337e+02°)	(1.97331069092753e+01dB,1.80000000000000e+02°)
1.51356124843620e+03	(1.56098475148198e+01dB,-1.28467221458112e+02°)	(1.97331069092753e+01dB,1.80000000000000e+02°)
1.54881661891248e+03	(1.57313579281482e+01dB,-1.29111407783767e+02°)	(1.97331069092753e+01dB,1.80000000000000e+02°)
1.58489319246111e+03	(1.58506618512048e+01dB,-1.29758628343780e+02°)	(1.97331069092753e+01dB,-1.80000000000000e+02°)
1.62181009735892e+03	(1.59677395863677e+01dB,-1.30408565649166e+02°)	(1.97331069092753e+01dB,1.80000000000000e+02°)
1.65958690743755e+03	(1.60825735610991e+01dB,-1.31060895300612e+02°)	(1.97331069092753e+01dB,1.80000000000000e+02°)
1.69824365246174e+03	(1.61951483991292e+01dB,-1.31715286755652e+02°)	(1.97331069092753e+01dB,1.80000000000000e+02°)
1.73780082874937e+03	(1.63054509834411e+01dB,-1.32371404133718e+02°)	(1.97331069092753e+01dB,1.80000000000000e+02°)
1.77827941003892e+03	(1.64134705105166e+01dB,-1.33028907054535e+02°)	(1.97331069092753e+01dB,-1.80000000000000e+02°)
1.81970085860998e+03	(1.65191985353710e+01dB,-1.33687451504893e+02°)	(1.97331069092753e+01dB,1.80000000000000e+02°)
1.86208713666286e+03	(1.66226290069797e+01dB,-1.34346690728530e+02°)	(1.97331069092753e+01dB,1.80000000000000e+02°)
1.90546071796324e+03	(1.67237582937835e+01dB,-1.35006276133579e+02°)	(1.97331069092753e+01dB,1.80000000000000e+02°)
1.94984459975804e+03	(1.68225851990438e+01dB,-1.35665858211821e+02°)	(1.97331069092753e+01dB,-1.80000000000000e+02°)
1.99526231496887e+03	(1.69191109659113e+01dB,-1.36325087463848e+02°)	(1.97331069092753e+01dB,1.80000000000000e+02°)
2.04173794466952e+03	(1.70133392721607e+01dB,-1.36983615324173e+02°)	(1.97331069092753e+01dB,1.80000000000000e+02°)
2.08929613085403e+03	(1.71052762146408e+01dB,-1.37641095080306e+02°)	(1.97331069092753e+01dB,1.80000000000000e+02°)
2.13796208950222e+03	(1.71949302835786e+01dB,-1.38297182779928e+02°)	(1.97331069092753e+01dB,-1.80000000000000e+02°)
2.18776162394954e+03	(1.72823123269656e+01dB,-1.38951538120380e+02°)	(1.97331069092753e+01dB,1.80000000000000e+02°)
2.23872113856833e+03	(1.73674355053446e+01dB,-1.39603825314947e+02°)	(1.97331069092753e+01dB,1.80000000000000e+02°)
2.29086765276776e+03	(1.74503152373929e+01dB,-1.40253713930657e+02°)	(1.97331069092753e+01dB,1.80000000000000e+02°)
2.34422881531991e+03	(1.75309691367757e+01dB,-1.40900879692663e+02°)	(1.97331069092753e+01dB,1.80000000000000e+02°)
2.39883291901948e+03	(1.76094169408121e+01dB,-1.41545005250643e+02°)	(1.97331069092753e+01dB,1.80000000000000e+02°)
2.45470891568502e+03	(1.76856804315569e+01dB,-1.42185780903108e+02°)	(1.97331069092753e+01dB,1.80000000000000e+02°)
2.51188643150957e+03	(1.77597833499520e+01dB,-1.42822905275943e+02°)	(1.97331069092753e+01dB,1.80000000000000e+02°)
2.57039578276885e+03	(1.78317513037492e+01dB,-1.43456085952021e+02°)	(1.97331069092753e+01dB,1.80000000000000e+02°)
2.63026799189537e+03	(1.79016116699319e+01dB,-1.44085040049253e+02°)	(1.97331069092753e+01dB,1.80000000000000e+02°)
2.69153480392690e+03	(1.79693934923977e+01dB,-1.44709494744942e+02°)	(1.97331069092753e+01dB,1.80000000000000e+02°)
2.75422870333815e+03	(1.80351273756679e+01dB,-1.45329187744859e+02°)	(1.97331069092753e+01dB,-1.80000000000000e+02°)
2.81838293126444e+03	(1.80988453754034e+01dB,-1.45943867695996e+02°)	(1.97331069092753e+01dB,-1.80000000000000e+02°)
2.88403150312659e+03	(1.81605808864987e+01dB,-1.46553294542447e+02°)	(1.97331069092753e+01dB,1.80000000000000e+02°)
2.95120922666637e+03	(1.82203685295139e+01dB,-1.47157239824397e+02°)	(1.97331069092753e+01dB,1.80000000000000e+02°)
3.01995172040200e+03	(1.82782440361853e+01dB,-1.47755486920648e+02°)	(1.97331069092753e+01dB,1.80000000000000e+02°)
3.09029543251358e+03	(1.83342441347282e+01dB,-1.48347831235570e+02°)	(1.97331069092753e+01dB,1.80000000000000e+02°)
3.16227766016836e+03	(1.83884064356102e+01dB,-1.48934080331798e+02°)	(1.97331069092753e+01dB,1.80000000000000e+02°)
3.23593656929627e+03	(1.84407693184377e+01dB,-1.49514054010321e+02°)	(1.97331069092753e+01dB,1.80000000000000e+02°)
3.31131121482590e+03	(1.84913718205500e+01dB,-1.50087584340001e+02°)	(1.97331069092753e+01dB,1.80000000000000e+02°)
3.38844156139201e+03	(1.85402535278738e+01dB,-1.50654515638810e+02°)	(1.97331069092753e+01dB,-1.80000000000000e+02°)
3.46736850452530e+03	(1.85874544685362e+01dB,-1.51214704409333e+02°)	(1.97331069092753e+01dB,1.80000000000000e+02°)
3.54813389233574e+03	(1.86330150096853e+01dB,-1.51768019231318e+02°)	(1.97331069092753e+01dB,1.80000000000000e+02°)
3.63078054770100e+03	(1.86769757579146e+01dB,-1.52314340614156e+02°)	(1.97331069092753e+01dB,1.80000000000000e+02°)
3.71535229097171e+03	(1.87193774636320e+01dB,-1.52853560812371e+02°)	(1.97331069092753e+01dB,-1.80000000000000e+02°)
3.80189396320559e+03	(1.87602609296645e+01dB,-1.53385583607211e+02°)	(1.97331069092753e+01dB,1.80000000000000e+02°)
3.89045144994279e+03	(1.87996669243378e+01dB,-1.53910324057526e+02°)	(1.97331069092753e+01dB,1.80000000000000e+02°)
3.98107170553495e+03	(1.88376360992166e+01dB,-1.54427708223104e+02°)	(1.97331069092753e+01dB,1.80000000000000e+02°)
4.07380277804111e+03	(1.88742089116490e+01dB,-1.54937672863609e+02°)	(1.97331069092753e+01dB,1.80000000000000e+02°)
4.16869383470333e+03	(1.89094255522094e+01dB,-1.55440165116237e+02°)	(1.97331069092753e+01dB,1.80000000000000e+02°)
4.26579518801591e+03	(1.89433258770931e+01dB,-1.55935142155103e+02°)	(1.97331069092753e+01dB,1.80000000000000e+02°)
4.36515832240164e+03	(1.89759493454769e+01dB,-1.56422570835289e+02°)	(1.97331069092753e+01dB,1.80000000000000e+02°)
4.46683592150961e+03	(1.90073349618240e+01dB,-1.56902427324365e+02°)	(1.97331069092753e+01dB,1.80000000000000e+02°)
4.57088189614873e+03	(1.90375212230777e+01dB,-1.57374696724046e+02°)	(1.97331069092753e+01dB,-1.80000000000000e+02°)
4.67735141287196e+03	(1.90665460706619e+01dB,-1.57839372684527e+02°)	(1.97331069092753e+01dB,1.80000000000000e+02°)
4.78630092322636e+03	(1.90944468471779e+01dB,-1.58296457013864e+02°)	(1.97331069092753e+01dB,1.80000000000000e+02°)
4.89778819368444e+03	(1.91212602576655e+01dB,-1.58745959284612e+02°)	(1.97331069092753e+01dB,1.80000000000000e+02°)
5.01187233627270e+03	(1.91470223352794e+01dB,-1.59187896439767e+02°)	(1.97331069092753e+01dB,1.80000000000000e+02°)
5.12861383991362e+03	(1.91717684112122e+01dB,-1.59622292399895e+02°)	(1.97331069092753e+01dB,1.80000000000000e+02°)
5.24807460249770e+03	(1.91955330886854e+01dB,-1.60049177673147e+02°)	(1.97331069092753e+01dB,1.80000000000000e+02°)
5.37031796370250e+03	(1.92183502208184e+01dB,-1.60468588969718e+02°)	(1.97331069092753e+01dB,1.80000000000000e+02°)
5.49540873857622e+03	(1.92402528921778e+01dB,-1.60880568822120e+02°)	(1.97331069092753e+01dB,1.80000000000000e+02°)
5.62341325190346e+03	(1.92612734038038e+01dB,-1.61285165212505e+02°)	(1.97331069092753e+01dB,-1.80000000000000e+02°)
5.75439937337154e+03	(1.92814432615093e+01dB,-1.61682431208099e+02°)	(1.97331069092753e+01dB,1.80000000000000e+02°)
5.88843655355586e+03	(1.93007931672428e+01dB,-1.62072424605688e+02°)	(1.97331069092753e+01dB,1.80000000000000e+02°)
6.02559586074354e+03	(1.93193530133111e+01dB,-1.62455207585932e+02°)	(1.97331069092753e+01dB,1.80000000000000e+02°)
6.16595001861479e+03	(1.93371518792552e+01dB,-1.62830846378188e+02°)	(1.97331069092753e+01dB,1.80000000000000e+02°)
6.30957344480190e+03	(1.93542180311816e+01dB,-1.63199410936361e+02°)	(1.97331069092753e+01dB,1.80000000000000e+02°)
6.45654229034652e+03	(1.93705789233508e+01dB,-1.63560974626234e+02°)	(1.97331069092753e+01dB,1.80000000000000e+02°)
6.60693448007592e+03	(1.93862612018338e+01dB,-1.63915613924583e+02°)	(1.97331069092753e+01dB,1.80000000000000e+02°)
6.76082975391978e+03	(1.94012907100536e+01dB,-1.64263408130316e+02°)	(1.97331069092753e+01dB,1.80000000000000e+02°)
6.91830970918932e+03	(1.94156924960330e+01dB,-1.64604439087786e+02°)	(1.97331069092753e+01dB,1.80000000000000e+02°)
7.07945784384134e+03	(1.94294908211816e+01dB,-1.64938790922321e+02°)	(1.97331069092753e+01dB,-1.80000000000000e+02°)
7.24435960074986e+03	(1.94427091704592e+01dB,-1.65266549787995e+02°)	(1.97331069092753e+01dB,1.80000000000000e+02°)
7.41310241300913e+03	(1.94553702637647e+01dB,-1.65587803627549e+02°)	(1.97331069092753e+01dB,1.80000000000000e+02°)
7.58577575029179e+03	(1.94674960684033e+01dB,-1.65902641944340e+02°)	(1.97331069092753e+01dB,1.80000000000000e+02°)
7.76247116628687e+03	(1.94791078124984e+01dB,-1.66211155586168e+02°)	(1.97331069092753e+01dB,1.80000000000000e+02°)
7.94328234724277e+03	(1.94902259992195e+01dB,-1.66513436540729e+02°)	(1.97331069092753e+01dB,1.80000000000000e+02°)
8.12830516164094e+03	(1.95008704217058e+01dB,-1.66809577742482e+02°)	(1.97331069092753e+01dB,1.80000000000000e+02°)
8.31763771102666e+03	(1.95110601785767e+01dB,-1.67099672890619e+02°)	(1.97331069092753e+01dB,1.80000000000000e+02°)
8.51138038202371e+03	(1.95208136899238e+01dB,-1.67383816277845e+02°)	(1.97331069092753e+01dB,1.80000000000000e+02°)
8.70963589956075e+03	(1.95301487136903e+01dB,-1.67662102629642e+02°)	(1.97331069092753e+01dB,1.80000000000000e+02°)
8.91250938133740e+03	(1.95390823623497e+01dB,-1.67934626953661e+02°)	(1.97331069092753e+01dB,1.80000000000000e+02°)
9.12010839355904e+03	(1.95476311198032e+01dB,-1.68201484398897e+02°)	(1.97331069092753e+01dB,-1.80000000000000e+02°)
9.33254300796985e+03	(1.95558108584217e+01dB,-1.68462770124279e+02°)	(1.97331069092753e+01dB,1.80000000000000e+02°)
9.54992586021430e+03	(1.95636368561658e+01dB,-1.68718579176292e+02°)	(1.97331069092753e+01dB,1.80000000000000e+02°)
9.77237220955804e+03	(1.95711238137222e+01dB,-1.68969006375277e+02°)	(1.97331069092753e+01dB,1.80000000000000e+02°)
9.99999999999993e+03	(1.95782858716026e+01dB,-1.69214146210011e+02°)	(1.97331069092753e+01dB,1.80000000000000e+02°)
1.02329299228075e+04	(1.95851366271541e+01dB,-1.69454092740209e+02°)	(1.97331069092753e+01dB,-1.80000000000000e+02°)
1.04712854805089e+04	(1.95916891514381e+01dB,-1.69688939506572e+02°)	(1.97331069092753e+01dB,1.80000000000000e+02°)
1.07151930523760e+04	(1.95979560059375e+01dB,-1.69918779448018e+02°)	(1.97331069092753e+01dB,-1.80000000000000e+02°)
1.09647819614318e+04	(1.96039492590582e+01dB,-1.70143704825726e+02°)	(1.97331069092753e+01dB,1.80000000000000e+02°)
1.12201845430196e+04	(1.96096805023931e+01dB,-1.70363807153662e+02°)	(1.97331069092753e+01dB,1.80000000000000e+02°)
1.14815362149688e+04	(1.96151608667240e+01dB,-1.70579177135231e+02°)	(1.97331069092753e+01dB,-1.80000000000000e+02°)
1.17489755493952e+04	(1.96204010377354e+01dB,-1.70789904605717e+02°)	(1.97331069092753e+01dB,1.80000000000000e+02°)
1.20226443461740e+04	(1.96254112714235e+01dB,-1.70996078480207e+02°)	(1.97331069092753e+01dB,1.80000000000000e+02°)
