Freq.	V(n002)
6.16595001861481e+01	(-1.41656878611942e-01dB,-1.03197268051323e+01°)
6.30957344480192e+01	(-1.48220294499880e-01dB,-1.05547620547369e+01°)
6.45654229034654e+01	(-1.55082419787910e-01dB,-1.07949005457268e+01°)
6.60693448007595e+01	(-1.62256344859984e-01dB,-1.10402358396853e+01°)
6.76082975391980e+01	(-1.69755687012338e-01dB,-1.12908620139867e+01°)
6.91830970918935e+01	(-1.77594607337902e-01dB,-1.15468735715692e+01°)
7.07945784384136e+01	(-1.85787827741106e-01dB,-1.18083653431470e+01°)
7.24435960074988e+01	(-1.94350648038672e-01dB,-1.20754323814930e+01°)
7.41310241300916e+01	(-2.03298963096691e-01dB,-1.23481698474155e+01°)
7.58577575029182e+01	(-2.12649279948739e-01dB,-1.26266728870562e+01°)
7.76247116628690e+01	(-2.22418734833886e-01dB,-1.29110365001320e+01°)
7.94328234724279e+01	(-2.32625110087190e-01dB,-1.32013553987520e+01°)
8.12830516164097e+01	(-2.43286850808693e-01dB,-1.34977238564408e+01°)
8.31763771102669e+01	(-2.54423081230007e-01dB,-1.38002355470146e+01°)
8.51138038202374e+01	(-2.66053620690393e-01dB,-1.41089833729648e+01°)
8.70963589956078e+01	(-2.78198999126682e-01dB,-1.44240592830223e+01°)
8.91250938133743e+01	(-2.90880471973622e-01dB,-1.47455540785969e+01°)
9.12010839355907e+01	(-3.04120034363262e-01dB,-1.50735572088105e+01°)
9.33254300796988e+01	(-3.17940434503694e-01dB,-1.54081565538753e+01°)
9.54992586021433e+01	(-3.32365186109204e-01dB,-1.57494381966033e+01°)
9.77237220955808e+01	(-3.47418579745448e-01dB,-1.60974861818766e+01°)
9.99999999999997e+01	(-3.63125692944755e-01dB,-1.64523822639565e+01°)
1.02329299228075e+02	(-3.79512398938382e-01dB,-1.68142056415653e+01°)
1.04712854805090e+02	(-3.96605373844253e-01dB,-1.71830326807384e+01°)
1.07151930523760e+02	(-4.14432102140807e-01dB,-1.75589366255132e+01°)
1.09647819614318e+02	(-4.33020880249963e-01dB,-1.79419872966031e+01°)
1.12201845430196e+02	(-4.52400818045180e-01dB,-1.83322507782873e+01°)
1.14815362149688e+02	(-4.72601838094162e-01dB,-1.87297890938484e+01°)
1.17489755493953e+02	(-4.93654672440128e-01dB,-1.91346598699872e+01°)
1.20226443461741e+02	(-5.15590856720978e-01dB,-1.95469159907626e+01°)
1.23026877081238e+02	(-5.38442721422170e-01dB,-1.99666052417213e+01°)
1.25892541179416e+02	(-5.62243380056989e-01dB,-2.03937699450153e+01°)
1.28824955169313e+02	(-5.87026714067368e-01dB,-2.08284465864383e+01°)
1.31825673855640e+02	(-6.12827354239460e-01dB,-2.12706654354617e+01°)
1.34896288259165e+02	(-6.39680658431447e-01dB,-2.17204501594997e+01°)
1.38038426460288e+02	(-6.67622685416249e-01dB,-2.21778174337910e+01°)
1.41253754462275e+02	(-6.96690164649596e-01dB,-2.26427765484493e+01°)
1.44543977074592e+02	(-7.26920461784147e-01dB,-2.31153290143973e+01°)
1.47910838816820e+02	(-7.58351539763532e-01dB,-2.35954681700698e+01°)
1.51356124843620e+02	(-7.91021915346164e-01dB,-2.40831787909379e+01°)
1.54881661891248e+02	(-8.24970610927958e-01dB,-2.45784367040719e+01°)
1.58489319246111e+02	(-8.60237101555523e-01dB,-2.50812084101238e+01°)
1.62181009735892e+02	(-8.96861257047242e-01dB,-2.55914507152634e+01°)
1.65958690743755e+02	(-9.34883279168921e-01dB,-2.61091103757476e+01°)
1.69824365246174e+02	(-9.74343633843381e-01dB,-2.66341237579370e+01°)
1.73780082874937e+02	(-1.01528297840938e+00dB,-2.71664165166870e+01°)
1.77827941003892e+02	(-1.05774208398471e+00dB,-2.77059032951443e+01°)
1.81970085860998e+02	(-1.10176175303056e+00dB,-2.82524874490494e+01°)
1.86208713666286e+02	(-1.14738273225982e+00dB,-2.88060607987029e+01°)
1.90546071796324e+02	(-1.19464562107945e+00dB,-2.93665034117673e+01°)
1.94984459975804e+02	(-1.24359077580731e+00dB,-2.99336834200743e+01°)
1.99526231496887e+02	(-1.29425820995519e+00dB,-3.05074568735534e+01°)
2.04173794466952e+02	(-1.34668749092254e+00dB,-3.10876676343235e+01°)
2.08929613085403e+02	(-1.40091763349844e+00dB,-3.16741473138579e+01°)
2.13796208950222e+02	(-1.45698699062202e+00dB,-3.22667152559773e+01°)
2.18776162394954e+02	(-1.51493314190343e+00dB,-3.28651785682105e+01°)
2.23872113856833e+02	(-1.57479278045718e+00dB,-3.34693322038178e+01°)
2.29086765276776e+02	(-1.63660159864658e+00dB,-3.40789590964748e+01°)
2.34422881531991e+02	(-1.70039417338159e+00dB,-3.46938303492808e+01°)
2.39883291901948e+02	(-1.76620385165089e+00dB,-3.53137054793768e+01°)
2.45470891568502e+02	(-1.83406263700256e+00dB,-3.59383327190466e+01°)
2.51188643150957e+02	(-1.90400107771437e+00dB,-3.65674493737259e+01°)
2.57039578276885e+02	(-1.97604815741481e+00dB,-3.72007822368648e+01°)
2.63026799189537e+02	(-2.05023118892748e+00dB,-3.78380480610907e+01°)
2.69153480392690e+02	(-2.12657571211545e+00dB,-3.84789540845963e+01°)
2.75422870333816e+02	(-2.20510539649592e+00dB,-3.91231986111488e+01°)
2.81838293126444e+02	(-2.28584194938115e+00dB,-3.97704716415832e+01°)
2.88403150312659e+02	(-2.36880503027680e+00dB,-4.04204555541102e+01°)
2.95120922666637e+02	(-2.45401217223468e+00dB,-4.10728258302587e+01°)
3.01995172040200e+02	(-2.54147871081357e+00dB,-4.17272518227729e+01°)
3.09029543251358e+02	(-2.63121772124891e+00dB,-4.23833975613220e+01°)
3.16227766016837e+02	(-2.72323996437119e+00dB,-4.30409225914530e+01°)
3.23593656929627e+02	(-2.81755384174360e+00dB,-4.36994828418351e+01°)
3.31131121482590e+02	(-2.91416536041369e+00dB,-4.43587315145138e+01°)
3.38844156139201e+02	(-3.01307810759181e+00dB,-4.50183199926258e+01°)
3.46736850452530e+02	(-3.11429323548253e+00dB,-4.56778987598122e+01°)
3.54813389233574e+02	(-3.21780945640494e+00dB,-4.63371183254355e+01°)
3.63078054770100e+02	(-3.32362304824585e+00dB,-4.69956301496295e+01°)
3.71535229097171e+02	(-3.43172787019673e+00dB,-4.76530875622172e+01°)
3.80189396320559e+02	(-3.54211538863345e+00dB,-4.83091466696045e+01°)
3.89045144994279e+02	(-3.65477471290754e+00dB,-4.89634672439004e+01°)
3.98107170553495e+02	(-3.76969264073178e+00dB,-4.96157135887253e+01°)
4.07380277804111e+02	(-3.88685371276072e+00dB,-5.02655553764436e+01°)
4.16869383470333e+02	(-4.00624027589176e+00dB,-5.09126684518897e+01°)
4.26579518801591e+02	(-4.12783255474317e+00dB,-5.15567355980393e+01°)
4.36515832240164e+02	(-4.25160873070522e+00dB,-5.21974472595082e+01°)
4.46683592150961e+02	(-4.37754502790807e+00dB,-5.28345022202289e+01°)
4.57088189614873e+02	(-4.50561580540725e+00dB,-5.34676082321485e+01°)
4.67735141287196e+02	(-4.63579365485390e+00dB,-5.40964825923106e+01°)
4.78630092322636e+02	(-4.76804950289302e+00dB,-5.47208526662137e+01°)
4.89778819368444e+02	(-4.90235271751837e+00dB,-5.53404563558691e+01°)
5.01187233627270e+02	(-5.03867121760787e+00dB,-5.59550425115164e+01°)
5.12861383991362e+02	(-5.17697158486686e+00dB,-5.65643712864678e+01°)
5.24807460249770e+02	(-5.31721917741947e+00dB,-5.71682144350565e+01°)
5.37031796370250e+02	(-5.45937824430789e+00dB,-5.77663555541395e+01°)
5.49540873857622e+02	(-5.60341204018730e+00dB,-5.83585902690501e+01°)
5.62341325190346e+02	(-5.74928293953740e+00dB,-5.89447263653110e+01°)
5.75439937337154e+02	(-5.89695254975062e+00dB,-5.95245838677873e+01°)
5.88843655355586e+02	(-6.04638182250079e+00dB,-6.00979950692985e+01°)
6.02559586074355e+02	(-6.19753116284313e+00dB,-6.06648045109969e+01°)
6.16595001861479e+02	(-6.35036053554630e+00dB,-6.12248689170664e+01°)
6.30957344480190e+02	(-6.50482956820929e+00dB,-6.17780570865054e+01°)
6.45654229034652e+02	(-6.66089765076838e+00dB,-6.23242497449128e+01°)
6.60693448007592e+02	(-6.81852403105281e+00dB,-6.28633393593240e+01°)
6.76082975391978e+02	(-6.97766790610015e+00dB,-6.33952299192170e+01°)
6.91830970918933e+02	(-7.13828850899395e+00dB,-6.39198366868586e+01°)
7.07945784384134e+02	(-7.30034519103611e+00dB,-6.44370859201631e+01°)
7.24435960074986e+02	(-7.46379749911399e+00dB,-6.49469145712193e+01°)
7.41310241300914e+02	(-7.62860524816760e+00dB,-6.54492699635825e+01°)
7.58577575029180e+02	(-7.79472858870416e+00dB,-6.59441094513569e+01°)
7.76247116628688e+02	(-7.96212806934694e+00dB,-6.64314000629907e+01°)
7.94328234724277e+02	(-8.13076469444076e+00dB,-6.69111181325906e+01°)
8.12830516164095e+02	(-8.30059997676923e+00dB,-6.73832489214264e+01°)
8.31763771102666e+02	(-8.47159598546781e+00dB,-6.78477862321538e+01°)
8.51138038202372e+02	(-8.64371538924256e+00dB,-6.83047320181250e+01°)
8.70963589956076e+02	(-8.81692149502648e+00dB,-6.87540959899962e+01°)
8.91250938133741e+02	(-8.99117828222458e+00dB,-6.91958952216771e+01°)
9.12010839355905e+02	(-9.16645043271470e+00dB,-6.96301537574935e+01°)
9.33254300796986e+02	(-9.34270335678393e+00dB,-7.00569022222746e+01°)
9.54992586021431e+02	(-9.51990321519077e+00dB,-7.04761774359034e+01°)
9.77237220955805e+02	(-9.69801693755053e+00dB,-7.08880220337100e+01°)
9.99999999999994e+02	(-9.87701223724704e+00dB,-7.12924840939314e+01°)
1.02329299228075e+03	(-1.00568576230762e+01dB,-7.16896167733047e+01°)
1.04712854805089e+03	(-1.02375224078285e+01dB,-7.20794779517234e+01°)
1.07151930523760e+03	(-1.04189767140169e+01dB,-7.24621298867418e+01°)
1.09647819614318e+03	(-1.06011914769530e+01dB,-7.28376388785900e+01°)
1.12201845430196e+03	(-1.07841384453742e+01dB,-7.32060749462359e+01°)
1.14815362149688e+03	(-1.09677901798148e+01dB,-7.35675115149232e+01°)
1.17489755493952e+03	(-1.11521200489137e+01dB,-7.39220251155062e+01°)
1.20226443461741e+03	(-1.13371022238404e+01dB,-7.42696950958123e+01°)
1.23026877081237e+03	(-1.15227116710174e+01dB,-7.46106033441718e+01°)
1.25892541179416e+03	(-1.17089241433068e+01dB,-7.49448340251794e+01°)
1.28824955169313e+03	(-1.18957161698228e+01dB,-7.52724733276817e+01°)
1.31825673855640e+03	(-1.20830650445224e+01dB,-7.55936092249192e+01°)
1.34896288259165e+03	(-1.22709488137194e+01dB,-7.59083312467004e+01°)
1.38038426460288e+03	(-1.24593462626565e+01dB,-7.62167302634331e+01°)
1.41253754462275e+03	(-1.26482369012638e+01dB,-7.65188982817983e+01°)
1.44543977074592e+03	(-1.28376009492233e+01dB,-7.68149282518149e+01°)
1.47910838816820e+03	(-1.30274193204491e+01dB,-7.71049138850130e+01°)
1.51356124843620e+03	(-1.32176736070868e+01dB,-7.73889494834098e+01°)
1.54881661891247e+03	(-1.34083460631288e+01dB,-7.76671297789575e+01°)
1.58489319246110e+03	(-1.35994195877301e+01dB,-7.79395497831211e+01°)
1.62181009735892e+03	(-1.37908777083079e+01dB,-7.82063046462275e+01°)
1.65958690743755e+03	(-1.39827045634978e+01dB,-7.84674895262210e+01°)
1.69824365246173e+03	(-1.41748848860329e+01dB,-7.87231994664524e+01°)
1.73780082874936e+03	(-1.43674039856070e+01dB,-7.89735292821279e+01°)
1.77827941003891e+03	(-1.45602477317778e+01dB,-7.92185734550410e+01°)
1.81970085860997e+03	(-1.47534025369581e+01dB,-7.94584260362151e+01°)
1.86208713666286e+03	(-1.49468553395397e+01dB,-7.96931805560846e+01°)
1.90546071796323e+03	(-1.51405935871895e+01dB,-7.99229299418518e+01°)
1.94984459975803e+03	(-1.53346052203524e+01dB,-8.01477664416579e+01°)
1.99526231496887e+03	(-1.55288786559914e+01dB,-8.03677815552197e+01°)
2.04173794466952e+03	(-1.57234027715917e+01dB,-8.05830659705890e+01°)
2.08929613085403e+03	(-1.59181668894511e+01dB,-8.07937095067005e+01°)
2.13796208950222e+03	(-1.61131607612772e+01dB,-8.09998010613882e+01°)
2.18776162394954e+03	(-1.63083745531079e+01dB,-8.12014285645562e+01°)
2.23872113856832e+03	(-1.65037988305675e+01dB,-8.13986789362041e+01°)
2.29086765276776e+03	(-1.66994245444710e+01dB,-8.15916380490170e+01°)
2.34422881531991e+03	(-1.68952430167853e+01dB,-8.17803906952421e+01°)
2.39883291901947e+03	(-1.70912459269531e+01dB,-8.19650205575846e+01°)
2.45470891568501e+03	(-1.72874252985838e+01dB,-8.21456101838689e+01°)
2.51188643150956e+03	(-1.74837734865169e+01dB,-8.23222409652199e+01°)
2.57039578276885e+03	(-1.76802831642557e+01dB,-8.24949931175329e+01°)
2.63026799189536e+03	(-1.78769473117745e+01dB,-8.26639456660098e+01°)
2.69153480392690e+03	(-1.80737592036953e+01dB,-8.28291764325520e+01°)
2.75422870333815e+03	(-1.82707123978338e+01dB,-8.29907620258095e+01°)
2.81838293126443e+03	(-1.84678007241103e+01dB,-8.31487778336963e+01°)
2.88403150312658e+03	(-1.86650182738209e+01dB,-8.33032980181930e+01°)
2.95120922666636e+03	(-1.88623593892648e+01dB,-8.34543955122665e+01°)
3.01995172040199e+03	(-1.90598186537219e+01dB,-8.36021420187462e+01°)
3.09029543251357e+03	(-1.92573908817741e+01dB,-8.37466080110052e+01°)
3.16227766016836e+03	(-1.94550711099636e+01dB,-8.38878627353035e+01°)
3.23593656929626e+03	(-1.96528545877820e+01dB,-8.40259742146590e+01°)
3.31131121482589e+03	(-1.98507367689819e+01dB,-8.41610092541190e+01°)
3.38844156139200e+03	(-2.00487133032034e+01dB,-8.42930334473137e+01°)
3.46736850452529e+03	(-2.02467800279081e+01dB,-8.44221111841802e+01°)
3.54813389233573e+03	(-2.04449329606126e+01dB,-8.45483056597514e+01°)
3.63078054770099e+03	(-2.06431682914121e+01dB,-8.46716788839119e+01°)
3.71535229097170e+03	(-2.08414823757886e+01dB,-8.47922916920294e+01°)
3.80189396320558e+03	(-2.10398717276919e+01dB,-8.49102037563745e+01°)
3.89045144994278e+03	(-2.12383330128881e+01dB,-8.50254735982494e+01°)
3.98107170553494e+03	(-2.14368630425663e+01dB,-8.51381586007502e+01°)
4.07380277804110e+03	(-2.16354587671953e+01dB,-8.52483150220922e+01°)
4.16869383470332e+03	(-2.18341172706216e+01dB,-8.53559980094337e+01°)
4.26579518801589e+03	(-2.20328357644026e+01dB,-8.54612616131375e+01°)
4.36515832240162e+03	(-2.22316115823656e+01dB,-8.55641588014124e+01°)
4.46683592150960e+03	(-2.24304421753843e+01dB,-8.56647414752838e+01°)
4.57088189614871e+03	(-2.26293251063680e+01dB,-8.57630604838442e+01°)
4.67735141287194e+03	(-2.28282580454527e+01dB,-8.58591656397375e+01°)
4.78630092322634e+03	(-2.30272387653889e+01dB,-8.59531057348363e+01°)
4.89778819368442e+03	(-2.32262651371191e+01dB,-8.60449285560735e+01°)
5.01187233627268e+03	(-2.34253351255365e+01dB,-8.61346809013918e+01°)
5.12861383991361e+03	(-2.36244467854194e+01dB,-8.62224085957786e+01°)
5.24807460249768e+03	(-2.38235982575353e+01dB,-8.63081565073556e+01°)
5.37031796370248e+03	(-2.40227877649061e+01dB,-8.63919685634959e+01°)
5.49540873857620e+03	(-2.42220136092304e+01dB,-8.64738877669419e+01°)
5.62341325190344e+03	(-2.44212741674562e+01dB,-8.65539562119011e+01°)
5.75439937337152e+03	(-2.46205678884974e+01dB,-8.66322151000983e+01°)
5.88843655355584e+03	(-2.48198932900893e+01dB,-8.67087047567640e+01°)
6.02559586074353e+03	(-2.50192489557776e+01dB,-8.67834646465415e+01°)
6.16595001861477e+03	(-2.52186335320355e+01dB,-8.68565333892964e+01°)
6.30957344480188e+03	(-2.54180457255031e+01dB,-8.69279487758134e+01°)
6.45654229034650e+03	(-2.56174843003452e+01dB,-8.69977477833668e+01°)
6.60693448007590e+03	(-2.58169480757225e+01dB,-8.70659665911538e+01°)
6.76082975391976e+03	(-2.60164359233708e+01dB,-8.71326405955778e+01°)
6.91830970918931e+03	(-2.62159467652851e+01dB,-8.71978044253739e+01°)
7.07945784384132e+03	(-2.64154795715027e+01dB,-8.72614919565666e+01°)
7.24435960074984e+03	(-2.66150333579830e+01dB,-8.73237363272524e+01°)
7.41310241300911e+03	(-2.68146071845783e+01dB,-8.73845699522009e+01°)
7.58577575029177e+03	(-2.70142001530934e+01dB,-8.74440245372678e+01°)
7.76247116628685e+03	(-2.72138114054285e+01dB,-8.75021310936155e+01°)
7.94328234724275e+03	(-2.74134401218041e+01dB,-8.75589199517356e+01°)
8.12830516164092e+03	(-2.76130855190623e+01dB,-8.76144207752705e+01°)
8.31763771102664e+03	(-2.78127468490427e+01dB,-8.76686625746316e+01°)
8.51138038202369e+03	(-2.80124233970292e+01dB,-8.77216737204088e+01°)
8.70963589956073e+03	(-2.82121144802648e+01dB,-8.77734819565733e+01°)
8.91250938133738e+03	(-2.84118194465313e+01dB,-8.78241144134682e+01°)
9.12010839355902e+03	(-2.86115376727920e+01dB,-8.78735976205879e+01°)
9.33254300796983e+03	(-2.88112685638930e+01dB,-8.79219575191462e+01°)
9.54992586021428e+03	(-2.90110115513223e+01dB,-8.79692194744303e+01°)
9.77237220955802e+03	(-2.92107660920235e+01dB,-8.80154082879430e+01°)
1.00000000000000e+04	(-2.94105316672618e+01dB,-8.80605482093328e+01°)
