Freq.	V(Vout)/V(Vin)	V(vout)
2.95120922666638e+02	(1.97331067599463e+01dB,1.79989375646916e+02°)	(3.43201499494616e+00dB,-9.88166347912216e+01°)
3.01995172040201e+02	(1.97331067529087e+01dB,1.79989128173948e+02°)	(3.62722075133107e+00dB,-9.90186746523563e+01°)
3.09029543251358e+02	(1.97331067455394e+01dB,1.79988874936594e+02°)	(3.82220622796239e+00dB,-9.92251875901659e+01°)
3.16227766016837e+02	(1.97331067378227e+01dB,1.79988615800585e+02°)	(4.01696157567979e+00dB,-9.94362617056982e+01°)
3.23593656929628e+02	(1.97331067297424e+01dB,1.79988350628523e+02°)	(4.21147653043592e+00dB,-9.96519860694011e+01°)
3.31131121482590e+02	(1.97331067212813e+01dB,1.79988079279811e+02°)	(4.40574039820413e+00dB,-9.98724506741801e+01°)
3.38844156139202e+02	(1.97331067124214e+01dB,1.79987801610576e+02°)	(4.59974203956381e+00dB,-1.00097746383290e+02°)
3.46736850452531e+02	(1.97331067031440e+01dB,1.79987517473594e+02°)	(4.79346985398004e+00dB,-1.00327964872750e+02°)
3.54813389233575e+02	(1.97331066934293e+01dB,1.79987226718212e+02°)	(4.98691176379722e+00dB,-1.00563198567959e+02°)
3.63078054770101e+02	(1.97331066832568e+01dB,1.79986929190268e+02°)	(5.18005519796976e+00dB,-1.00803540574177e+02°)
3.71535229097172e+02	(1.97331066726049e+01dB,1.79986624732009e+02°)	(5.37288707555666e+00dB,-1.01049084600529e+02°)
3.80189396320560e+02	(1.97331066614509e+01dB,1.79986313182007e+02°)	(5.56539378901041e+00dB,-1.01299924877185e+02°)
3.89045144994280e+02	(1.97331066497713e+01dB,1.79985994375073e+02°)	(5.75756118729531e+00dB,-1.01556156065356e+02°)
3.98107170553496e+02	(1.97331066375413e+01dB,1.79985668142173e+02°)	(5.94937455887463e+00dB,-1.01817873159728e+02°)
4.07380277804112e+02	(1.97331066247348e+01dB,1.79985334310334e+02°)	(6.14081861461089e+00dB,-1.02085171382990e+02°)
4.16869383470335e+02	(1.97331066113249e+01dB,1.79984992702553e+02°)	(6.33187747062891e+00dB,-1.02358146072052e+02°)
4.26579518801592e+02	(1.97331065972829e+01dB,1.79984643137706e+02°)	(6.52253463119679e+00dB,-1.02636892555601e+02°)
4.36515832240165e+02	(1.97331065825791e+01dB,1.79984285430449e+02°)	(6.71277297168574e+00dB,-1.02921506022607e+02°)
4.46683592150962e+02	(1.97331065671824e+01dB,1.79983919391121e+02°)	(6.90257472167624e+00dB,-1.03212081381414e+02°)
4.57088189614874e+02	(1.97331065510601e+01dB,1.79983544825643e+02°)	(7.09192144828420e+00dB,-1.03508713109047e+02°)
4.67735141287197e+02	(1.97331065341779e+01dB,1.79983161535415e+02°)	(7.28079403978802e+00dB,-1.03811495090376e+02°)
4.78630092322637e+02	(1.97331065165001e+01dB,1.79982769317213e+02°)	(7.46917268964450e+00dB,-1.04120520446802e+02°)
4.89778819368445e+02	(1.97331064979892e+01dB,1.79982367963077e+02°)	(7.65703688098902e+00dB,-1.04435881354130e+02°)
5.01187233627271e+02	(1.97331064786059e+01dB,1.79981957260204e+02°)	(7.84436537172339e+00dB,-1.04757668849323e+02°)
