time_s,Vin_V,VL_V
0.0,-0.0160804018,-0.0344389928792257
4.999999999999579e-07,-0.0241206028,-0.015886906685898563
1.0000000000000243e-06,-0.0201005023,-0.012180736706653705
1.4999999999999823e-06,-0.0241206028,0.006350833184975364
2.0000000000000486e-06,-0.0160804018,0.018256755583383938
2.5000000000000066e-06,-0.0180904521,-0.005162153609162306
2.9999999999999645e-06,-0.0201005023,-0.016759886082529294
3.500000000000031e-06,-0.0241206028,-0.01506303813151334
3.999999999999989e-06,-0.0241206028,-0.020580532698657936
4.500000000000055e-06,-0.0321608037,-0.017920993170445695
5.000000000000013e-06,-0.0321608037,0.016835016729053087
5.499999999999971e-06,-0.0221105525,0.014420876577482256
6.000000000000037e-06,-0.0321608037,-0.023799011651833527
6.499999999999995e-06,-0.0321608037,-0.008876766749094323
7.000000000000062e-06,-0.0361809041,-0.0051953716132477614
7.50000000000002e-06,-0.0321608037,0.012797754883952975
7.999999999999978e-06,-0.0321608037,-0.02128243503279789
8.500000000000044e-06,-0.0341708539,-0.014717334895092053
9.000000000000002e-06,-0.0402010046,0.0032407609041836868
9.49999999999996e-06,-0.0402010046,-0.012876951686663338
1.0000000000000026e-05,-0.0482412055,-0.023451676373217586
1.0499999999999984e-05,-0.0462311553,0.007493075581742548
1.100000000000005e-05,-0.052261306,-0.0130135299113054
1.1500000000000008e-05,-0.0562814064,0.00952846401021157
1.200000000000002e-05,-0.0482412055,0.014534920066811619
1.2500000000000033e-05,-0.0482412055,-0.011589868975881356
1.299999999999999e-05,-0.0562814064,-0.0038448039519727176
1.3500000000000003e-05,-0.0502512557,0.036820417567021826
1.4000000000000015e-05,-0.0482412055,-0.0031313230598669934
1.4500000000000027e-05,-0.0562814064,-0.01719660181639698
1.4999999999999985e-05,-0.0562814064,0.0014178805474776366
1.5499999999999997e-05,-0.0562814064,-0.012587540030809112
1.600000000000001e-05,-0.0643216074,-0.0005708583003526356
1.650000000000002e-05,-0.0643216074,0.026316488601050306
1.7000000000000034e-05,-0.0562814064,-0.00703656497737614
1.749999999999999e-05,-0.0643216074,-0.0325098842919904
1.8000000000000004e-05,-0.0723618083,-0.023057891685907113
1.8500000000000016e-05,-0.0723618083,0.02462945037189095
1.9000000000000028e-05,-0.0643216074,0.0028790454821969414
1.9499999999999986e-05,-0.0723618083,-0.01170971071342697
1.9999999999999998e-05,-0.0723618083,-5.574898563606191e-05
2.050000000000001e-05,-0.0743718585,-0.033228898440469806
2.1000000000000023e-05,-0.0844221096,-0.011303891312169616
2.1500000000000035e-05,-0.0723618083,0.009790716947737595
2.1999999999999993e-05,-0.0804020092,-0.024760822418694192
2.2500000000000005e-05,-0.0804020092,0.0035372786592083785
2.3000000000000017e-05,-0.0804020092,-0.01866211154624564
2.350000000000003e-05,-0.0864321599,-0.01258767619831205
2.3999999999999987e-05,-0.0884422101,-0.003089998068262926
2.45e-05,-0.0884422101,0.026472254116253365
2.500000000000001e-05,-0.0884422101,0.007063138886964107
2.5500000000000024e-05,-0.0884422101,0.011643193785487374
2.6000000000000036e-05,-0.0884422101,-0.006426116062647352
2.6499999999999994e-05,-0.0904522603,-0.0008636379030145412
2.7000000000000006e-05,-0.0924623106,-0.029957416026485016
2.7500000000000018e-05,-0.096482411,-0.009631161684618047
2.800000000000003e-05,-0.096482411,-0.027842068455345287
2.8499999999999988e-05,-0.1025125617,0.016026636019442986
2.9e-05,-0.0924623106,0.003940319344308274
2.9500000000000012e-05,-0.0984924613,-0.030511795687030798
3.0000000000000024e-05,-0.1045226119,-0.01824655391282156
3.0500000000000037e-05,-0.1105527626,-0.001384998809715177
3.0999999999999995e-05,-0.1045226119,-0.0011240230400899724
3.150000000000001e-05,-0.1105527626,-0.0029289719735422727
3.200000000000002e-05,-0.1045226119,0.006535088042877358
3.250000000000003e-05,-0.1105527626,0.001906107012609997
3.299999999999999e-05,-0.1085427124,0.004447595138642494
3.35e-05,-0.1105527626,-0.0028661770580346996
3.400000000000001e-05,-0.1125628129,-0.008821646397202842
3.4500000000000025e-05,-0.1125628129,-0.012557646187977816
3.499999999999998e-05,-0.1165829133,-0.0021839319340340706
3.5499999999999996e-05,-0.1206030138,0.003283293351736683
3.600000000000001e-05,-0.1206030138,0.03028046076342805
3.650000000000002e-05,-0.1145728631,0.009612802654882818
3.700000000000003e-05,-0.1165829133,-0.0170589347327552
3.749999999999999e-05,-0.122613064,-0.006887598238865215
3.8e-05,-0.1206030138,-0.014487930799358182
3.8500000000000014e-05,-0.1286432147,-0.01565685523285111
3.9000000000000026e-05,-0.1286432147,0.012373795079850987
3.9499999999999984e-05,-0.122613064,-0.00632691297695792
3.9999999999999996e-05,-0.1286432147,-0.009760329760936198
4.050000000000001e-05,-0.1286432147,-0.013146897097705697
4.100000000000002e-05,-0.1366834156,-0.010386736839980492
4.150000000000003e-05,-0.1346733654,0.010695610210641486
4.199999999999999e-05,-0.1366834156,0.01704734217840264
4.25e-05,-0.1306532649,0.006029856135098993
4.3000000000000015e-05,-0.1366834156,-0.024931166811266003
4.350000000000003e-05,-0.1427135663,0.019564451534088916
4.3999999999999985e-05,-0.1286432147,0.016249340490932955
4.45e-05,-0.1427135663,-0.007408331530720423
4.500000000000001e-05,-0.1366834156,0.003629087352913366
4.550000000000002e-05,-0.1447236165,-0.01509415439554573
4.6000000000000034e-05,-0.1447236165,-0.016498746680367025
4.649999999999999e-05,-0.1507537672,-0.00396288408108904
4.7000000000000004e-05,-0.148743717,0.0076656719252870655
4.7500000000000016e-05,-0.1507537672,0.011871160895381485
