x-axis,1,2
second,Volt,Volt
-443.4500E-06,-189.9497467E-03,-201.0050230E-03
-442.9600E-06,-201.0050230E-03,-217.0854248E-03
-442.4700E-06,-222.1105504E-03,-222.1105504E-03
-441.9800E-06,-231.1557764E-03,-239.1959773E-03
-441.4900E-06,-241.2060276E-03,-242.2110527E-03
-441.0000E-06,-257.2864294E-03,-269.3467308E-03
-440.5100E-06,-265.3266303E-03,-272.3618061E-03
-440.0200E-06,-273.3668312E-03,-281.4070322E-03
-439.5300E-06,-289.4472331E-03,-297.4874340E-03
-439.0400E-06,-297.4874340E-03,-313.5678358E-03
-438.5500E-06,-313.5678358E-03,-315.5778861E-03
-438.0600E-06,-321.6080368E-03,-323.6180870E-03
-437.5700E-06,-330.6532628E-03,-337.6884386E-03
-437.0800E-06,-341.7085391E-03,-345.7286395E-03
-436.5900E-06,-345.7286395E-03,-353.7688404E-03
-436.1000E-06,-359.7989911E-03,-361.8090414E-03
-435.6100E-06,-366.8341669E-03,-364.8241167E-03
-435.1200E-06,-369.8492423E-03,-369.8492423E-03
-434.6300E-06,-382.9145688E-03,-382.9145688E-03
-434.1400E-06,-387.9396943E-03,-393.9698450E-03
-433.6500E-06,-386.9346692E-03,-387.9396943E-03
-433.1600E-06,-402.0100459E-03,-402.0100459E-03
-432.6700E-06,-410.0502469E-03,-411.0552720E-03
-432.1800E-06,-424.1205985E-03,-416.0803976E-03
-431.6900E-06,-418.0904478E-03,-423.1155734E-03
-431.2000E-06,-426.1306487E-03,-426.1306487E-03
-430.7100E-06,-434.1708496E-03,-426.1306487E-03
-430.2200E-06,-436.1808999E-03,-434.1708496E-03
-429.7300E-06,-449.2462263E-03,-442.2110505E-03
-429.2400E-06,-442.2110505E-03,-442.2110505E-03
-428.7500E-06,-443.2160757E-03,-442.2110505E-03
-428.2600E-06,-444.2211008E-03,-444.2211008E-03
-427.7700E-06,-455.2763770E-03,-453.2663268E-03
-427.2800E-06,-458.2914524E-03,-458.2914524E-03
-426.7900E-06,-458.2914524E-03,-450.2512515E-03
-426.3000E-06,-458.2914524E-03,-452.2613017E-03
-425.8100E-06,-451.2562766E-03,-451.2562766E-03
-425.3200E-06,-458.2914524E-03,-446.2311510E-03
-424.8300E-06,-458.2914524E-03,-450.2512515E-03
-424.3400E-06,-458.2914524E-03,-450.2512515E-03
-423.8500E-06,-456.2814022E-03,-450.2512515E-03
-423.3600E-06,-458.2914524E-03,-450.2512515E-03
-422.8700E-06,-453.2663268E-03,-447.2361761E-03
-422.3800E-06,-456.2814021E-03,-442.2110505E-03
-421.8900E-06,-450.2512515E-03,-435.1758747E-03
-421.4000E-06,-446.2311510E-03,-434.1708496E-03
-420.9100E-06,-442.2110505E-03,-434.1708496E-03
-420.4200E-06,-442.2110505E-03,-426.1306487E-03
-419.9300E-06,-434.1708496E-03,-426.1306487E-03
-419.4400E-06,-434.1708496E-03,-418.0904478E-03
-418.9500E-06,-426.1306487E-03,-410.0502469E-03
-418.4600E-06,-418.0904478E-03,-404.0200962E-03
-417.9700E-06,-418.0904478E-03,-402.0100459E-03
-417.4800E-06,-410.0502469E-03,-393.9698450E-03
-416.9900E-06,-402.0100459E-03,-385.9296441E-03
-416.5000E-06,-393.9698450E-03,-377.8894432E-03
-416.0100E-06,-385.9296441E-03,-369.8492423E-03
-415.5200E-06,-377.8894432E-03,-361.8090414E-03
-415.0300E-06,-377.8894432E-03,-353.7688404E-03
-414.5400E-06,-361.8090414E-03,-345.7286395E-03
-414.0500E-06,-354.7738655E-03,-336.6834135E-03
-413.5600E-06,-349.7487400E-03,-329.6482377E-03
-413.0700E-06,-344.7236144E-03,-321.6080368E-03
-412.5800E-06,-325.6281372E-03,-305.5276349E-03
-412.0900E-06,-316.5829112E-03,-297.4874340E-03
-411.6000E-06,-305.5276349E-03,-289.4472331E-03
-411.1100E-06,-297.4874340E-03,-273.3668312E-03
-410.6200E-06,-283.4170824E-03,-265.3266303E-03
-410.1300E-06,-273.3668312E-03,-264.3216052E-03
